service_date,port_id,direction,passenger_count,source_id,source_version,known_at,raw_hash
2021-01-01,futian,hong_kong_to_shenzhen,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,futian,shenzhen_to_hong_kong,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,huanggang,hong_kong_to_shenzhen,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,huanggang,shenzhen_to_hong_kong,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,luohu,hong_kong_to_shenzhen,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,luohu,shenzhen_to_hong_kong,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,shenzhen-bay,hong_kong_to_shenzhen,2658,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-01,shenzhen-bay,shenzhen_to_hong_kong,390,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-02,futian,hong_kong_to_shenzhen,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-02,futian,shenzhen_to_hong_kong,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-02,huanggang,hong_kong_to_shenzhen,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-02,huanggang,shenzhen_to_hong_kong,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
2021-01-02,luohu,hong_kong_to_shenzhen,0,hk_immd_daily_passenger_traffic,data-gov-hk-daily-traffic-v1,2026-07-10T13:41:53+00:00,282e650de4097899b76222a44f7cfdf7f3905ba9f562f671d7419f1fbcedfb97
